SeqNo,Hashtags_Threshold,Caption_Len_Threshold,Comments_Len_Threshold,Filtered_Data_Size
0,1,5,5,5635
1,1,5,6,5331
2,1,5,7,5042
3,1,5,8,4777
4,1,5,9,4558
5,1,5,10,4350
6,1,6,5,5398
7,1,6,6,5106
8,1,6,7,4832
9,1,6,8,4579
10,1,6,9,4373
11,1,6,10,4183
12,1,7,5,5198
13,1,7,6,4920
14,1,7,7,4666
15,1,7,8,4428
16,1,7,9,4227
17,1,7,10,4051
18,1,8,5,5031
19,1,8,6,4758
20,1,8,7,4517
21,1,8,8,4281
22,1,8,9,4095
23,1,8,10,3924
24,1,9,5,4855
25,1,9,6,4596
26,1,9,7,4362
27,1,9,8,4131
28,1,9,9,3954
29,1,9,10,3786
30,1,10,5,4705
31,1,10,6,4459
32,1,10,7,4229
33,1,10,8,4009
34,1,10,9,3838
35,1,10,10,3675
36,2,5,5,5493
37,2,5,6,5192
38,2,5,7,4911
39,2,5,8,4648
40,2,5,9,4431
41,2,5,10,4232
42,2,6,5,5269
43,2,6,6,4979
44,2,6,7,4712
45,2,6,8,4461
46,2,6,9,4257
47,2,6,10,4074
48,2,7,5,5081
49,2,7,6,4805
50,2,7,7,4557
51,2,7,8,4321
52,2,7,9,4122
53,2,7,10,3950
54,2,8,5,4928
55,2,8,6,4657
56,2,8,7,4420
57,2,8,8,4186
58,2,8,9,4000
59,2,8,10,3832
60,2,9,5,4756
61,2,9,6,4499
62,2,9,7,4269
63,2,9,8,4040
64,2,9,9,3863
65,2,9,10,3698
66,2,10,5,4612
67,2,10,6,4368
68,2,10,7,4142
69,2,10,8,3924
70,2,10,9,3753
71,2,10,10,3593
72,3,5,5,5408
73,3,5,6,5112
74,3,5,7,4835
75,3,5,8,4576
76,3,5,9,4364
77,3,5,10,4165
78,3,6,5,5192
79,3,6,6,4906
80,3,6,7,4643
81,3,6,8,4395
82,3,6,9,4195
83,3,6,10,4012
84,3,7,5,5008
85,3,7,6,4736
86,3,7,7,4492
87,3,7,8,4259
88,3,7,9,4064
89,3,7,10,3892
90,3,8,5,4857
91,3,8,6,4590
92,3,8,7,4357
93,3,8,8,4126
94,3,8,9,3944
95,3,8,10,3776
96,3,9,5,4690
97,3,9,6,4435
98,3,9,7,4208
99,3,9,8,3982
100,3,9,9,3809
101,3,9,10,3644
102,3,10,5,4547
103,3,10,6,4305
104,3,10,7,4082
105,3,10,8,3867
106,3,10,9,3700
107,3,10,10,3540
108,4,5,5,5290
109,4,5,6,5003
110,4,5,7,4733
111,4,5,8,4482
112,4,5,9,4273
113,4,5,10,4076
114,4,6,5,5080
115,4,6,6,4803
116,4,6,7,4547
117,4,6,8,4306
118,4,6,9,4108
119,4,6,10,3927
120,4,7,5,4901
121,4,7,6,4637
122,4,7,7,4399
123,4,7,8,4173
124,4,7,9,3979
125,4,7,10,3809
126,4,8,5,4751
127,4,8,6,4492
128,4,8,7,4265
129,4,8,8,4041
130,4,8,9,3859
131,4,8,10,3693
132,4,9,5,4589
133,4,9,6,4341
134,4,9,7,4120
135,4,9,8,3901
136,4,9,9,3728
137,4,9,10,3565
138,4,10,5,4448
139,4,10,6,4211
140,4,10,7,3994
141,4,10,8,3786
142,4,10,9,3619
143,4,10,10,3461
144,5,5,5,5137
145,5,5,6,4856
146,5,5,7,4592
147,5,5,8,4345
148,5,5,9,4141
149,5,5,10,3948
150,5,6,5,4929
151,5,6,6,4658
152,5,6,7,4408
153,5,6,8,4171
154,5,6,9,3978
155,5,6,10,3800
156,5,7,5,4755
157,5,7,6,4497
158,5,7,7,4265
159,5,7,8,4042
160,5,7,9,3853
161,5,7,10,3686
162,5,8,5,4605
163,5,8,6,4352
164,5,8,7,4131
165,5,8,8,3910
166,5,8,9,3733
167,5,8,10,3570
168,5,9,5,4445
169,5,9,6,4203
170,5,9,7,3987
171,5,9,8,3771
172,5,9,9,3603
173,5,9,10,3443
174,5,10,5,4311
175,5,10,6,4079
176,5,10,7,3867
177,5,10,8,3662
178,5,10,9,3498
179,5,10,10,3343
