SeqNo,text,hashtags,comments,likes
0,0,"Walking into your feed this fiiiine Wednesday reppin’ some SICK new women’s #workwear gear from my new brand partner @sarahflint_nyc 😎  For those of you who aren’t familiar with #SarahFlint - they’re a badass shoe brand run by a BADASS woman on a mission to empower professional women by doing the one thing men never thought to do - take into consideration the actual women they sell their products to! 👩🏻‍💼👠🤑 #Amazing #Innovation
.
And in honor of my new partnership with @sarahflint_nyc (& because it’s Wednesday) I hereby deem the hashtag #WalkLikeAWomanWednesday a “thing” 🥰 To kick off the hashtag, here’s some super fun #WalkLikeAWoman #HowToAdvice :
.
#HowTo Deal With A Sexist Boss:
.  1. #WalkLikeAWoman into his office
.  2. Quit
.
#ProTip If you prefer to do this in shoes that don’t suck, use my code LINDSEYL45 for $45 off online at @sarahflint_nyc 🤗
.
. 📸 @alyssacatesstudio
. #workOOTD #weartowork #chicworkchick #corporatestyle #businesscasual #womenwhowork #womeninfinance #womeninmarketing #careeradvice #feministvoice #womenwhowrite #dallasblogger #feministblogger #expresslife #officelook #workstyle #everydaysexism #smashthepatriarchy",everydaysexism,"|😍💕😍💕💕😍💕😍✨✨✨✨|Love the workwear ✨✨✨|Yes!! Love this look. This statement, and sarah flint!|Love your outfit and how you combined the light palette with black accessories.|Such a chic look! 💓|LOVE THIS PHOTO AND OUTFIT!! 🔥🔥|Oooooo pretty!!!!!😍|Love it!!|Gorgeous love!|So chic! ❤️😍|Wow love this look 👀|This is absolutely amazing! ❤️❤️❤️ Love it a lot! Hope you can find something from us that you like too.❤️|Cute! Love it!’ I need to check them out!|Way to pull together this look! 😍|Dream girl ✨✨🍬🍭✨💕|❤️trees chic",124
1,1,"No one:
Literally no one:
Dieters: My zero calorie, sugar free, low carb, detox smoothie powder keeps my body feeling energized and satisfied all day long!!!
⠀⠀
🙄Stop demonizing the very thing that keeps us alive.",everydaysexism,"|.
.
.
.
.
.
#intuitiveeating #healthateverysize #haes #antidiet #edrecovery #NEDA  #nedawareness #anorexiarecovery #bulimiarecovery #orthorexia  #anorexia #anorexic #mentalhealth #depression #anxiety #bodyliberation #bodykindness #bodyacceptance  #allbodiesaregoodbodies #effyourbeautystandards #feminism #feminist #believesurvivors #womensreality #everydaysexism #ptsd #socialjustice|😍😍|Love😍😍|Haha, but seriously!  A foodie might have something to say about it, like “look at this delicious beauty” ❤️|👏👏👏💜|🙌❤️|YESSSS 👏👏👏👏👏",74
2,2,"Let's talk about the #pinktax...The pink tax refers to the extra amount women are charged for certain products or services. Not only do women make less but they pay more. Overall, women are paying about $1,351 (42%) more a year in extra costs than men, including things like toiletries, clothes, hair products, and more.

What are examples of the extra costs in your life?",everydaysexism,"|.
.
.
.
.
#everydaysexism #tampontax #nopinktax #unequalpay #wagegap #female #femaleproblems",10
3,3,"The bizarre and racist history of BMI. 
Source: https://medium.com/@thefatshadow/the-bizarre-and-racist-history-of-the-bmi-7d8dc2aa33bb

#bmicalculator #racism #whitesupremacists #nazism #theidealman #fatshaming #stopfatshaming #representationmatters #fatshamingisnotokay #stopfatshaming #ubermensch  #theirrelevantproject #weunlearn #unlearnandrelearn #historyofbmi",everydaysexism,|#genderequalityforall #blacklivesmatter #representationmatters #poc #stereotypes #genderneutralparenting #genderstereotypes #genderbias #childrengames #illustrationartists #sexism #everydaysexism #feministmedia #feminisminindia #unlearnandrelearn #parentinghacks #raisekindkids|@paawan24 this makes me feel really strange|😱😱😱😱|@bratinsengupta|I had no idea - fascinating and unsettling!|Now I'll remember this everytime I use a BMI machine😐|Amazing. I feel so.... Useless!|Can someone say all of this but like in a more child vocabulary because I don’t understand ;-;|@mayavinii @sepehr992 read all the slides,338
4,4,#scum2019 @scum_2019_ @fireraisers #femmefataleplay @polpop @omnibustheatre #theatrecompany,everydaysexism,|#catcalling #everydaysexism #bossyfollowthread #feminism #scummanifesto #valeriesolanas #andywarhol #manifesto,8
5,5,"Here’s some motivation for your morning :)
Tag someone who inspires you!
•
•
•
#psa #podcast #realtalk #spillthetea #news #letsspill #consentissexy #feminism #feminist #believewomen #believesurvivors #whyididntreport #womensreality #timesup #metoo #iamanastywoman #imwithher #everydaysexism #tothegirls #whyistayed #movement",everydaysexism,|@mjmaddi,88
6,6,Love to see it,everydaysexism,|#catcalling #catcallingisnotacompliment #catcalls #streetharassment #sexualharassment #casualsexism #everydaysexism #notyourbaby #notaskingforit #feministaf #thecatcallcollective|oop,413
7,7,"Thank you @persiluk for listening and changing this article! 👊💪 As explained in the original post, these micro messages are all around us and they reinforce unnecessary and outdated stereotypes. 
The more we bring attention to them, the more we can change. Thank you to everyone who commented and helped build the case. 👧👧👧👧👧🙏🙏🙏🙏🙏 #notjustaprincess #powerofinstagram #persil #changethemessage #smashingstereotypes #everydaysexism #campaign #socialmediawin #thankyou #dadsdowashingtoo #parentsnotjustmums #brandswholisten",everydaysexism,"|Woo hoo! Well done @persiluk and @not_just_a_princess , great work!|🙏🏻|Lucas’ parents’ worries*|👏👏👏👏👏👏👏👏|Win! Well done x|❤️❤️❤️|Fantastic well done 💪🏻|Fantastic!!! Good work!!!💪💪|Boom, well done Jen!! 👊🏼|Great work!!! Nice one @persiluk for listening!!! 👍|Brilliant! 👏👏👏👏|Brilliant 👏👏👏",99
8,8,"This is my climbing brush. His name is Giuseppe. Today Giuseppe is sad. Annoying men at climbing gyms keep bothering JoJo and telling her how to climb things when she didn't ask for their help.This makes JoJo cross. When JoJo gets cross she brushes holds very aggressively. This makes Giuseppe sad. 
Men of climbing gyms across the world, please consider Giuseppe's feelings before spraying your unwanted beta far and wide. Us ladies are strong and confident people. If we want your sodding help then we will ask for it. 
Please help to make Giuseppe smile again (see second picture) by keeping your opinions, tips and thoughts on my climbing to yourself unless your infinite wisdom is requested.

Yours sincerely JoJo and Giuseppe. 
#mansplaining #betaspray #didiaskforyourhelp #climbingbrush #8bplus #thinkofgiuseppe #everydaysexism #sadface #happyface",everydaysexism,"|Ugh, men|This happened to Lucy and me on the rowing machine at the gym in Darlington. Yes, uninvited man, Lucy, the qualified personal trainer actually knows what she's doing but thanks for the unsolicited and creepy advice (he used my bra as a point of reference for where my hands should be. No.)|Keep spreading the word!",18
9,9,"Since uploading this bio I’ve been called all the names you can think of... told I’m boring, told I’m high maintenance, told it’s too long. Called a bitch and a feminazi The thing is. It’s fine not to like me. I read bios of people all the time and think, ‘nah, not the one’. But I don’t then feel the need to tell them I don’t like them or call them names or be vile. All the vile messages have come from people I didn’t speak to first. Often the second messages look like they’re in response to me replying to the guys... but it’s just their rage at seeing that I’m online or have read their message and not replied. Communicating with them seems futile.. either they’re trying to annoy me into responding then trying to Segway into lets fuck. Or they get even more vile when you point out that it’s bizarre behaviour to deliver rude unsolicited advice to someone who really doesn’t care if they like her bio or not. Over to you.. what do you think ? Do you have the same? 
#datingin2019 #internetdating #onlinedating #datingfail #thisisnotflirting #thisisnotdating #respect #feminism #everydaysexism #sexism #noisnotenough",everydaysexism,"|I often wondered why some of these guys offer their unsolicited and unwanted opinions. 🤔 I think if it happens again, I'll ask why they felt the need to say anything",7
10,10,"And that, ladies and gentlemen, is called internalised misogyny and internalised sexism. And believe it or not, is very common.",everydaysexism,|#everydaysexism #sexism #misogynistic #misogyny #feminism #feminist #intersectionalfeminism #equality #women #feministasfuck #feministaf #womenempowerment #activism #activist #womensrights #equalrights #fuckthepatriarchy #smashthepatriarchy #womensupportingwomen #womensreality #tothegirls|What deeply sexist society are you living in? We are pretty much completely equal,53
11,11,"Boundaries has been the theme of my year. It’s been a crazy ride. I’ve let many people go, and making sure that I acknowledge my own part in the dynamic I created has been a massive part of dropping the stories. It’s allowed me to be a better mother, friend, person and most of all.. I am kinder to myself and others. Looking at conflict as an opportunity for boundary setting has change my life - I invite you to explore doing the same, or to continue to do the work. What has changed for YOU this year in your physical environment?",everydaysexism,"|#wearechampions #yougogirls #embracediversity #girlsrights #everydaysexism #sheinspires #womenstories #womenoftheworld #savescotus #womensright #sheroes #lifestyeblogger #overachievers #everygirl #bloggeroninstagram #ihavenothingtowear #plantednotburied #shedid #realqueensfixeachotherscrowns #becomingmore #lifelearner #schooloflife #rootsandwings #teachablemoments #seasonsoflife #sundaymusings #thepowerofpositivity #livingandlearning #lifewithpurpose #mentorshipmatters|This is such great news as I read this and see some of these in my own life! 🙌 And like you said, acknowledging our own part is massive!|YES!!!",29
12,12,"Had to censor the #drake because this shot got me asking for One Dance. I Started From The Bottom and noticed his shoes were untied and then that his drawstrings are quite long. But if that's supposed to distract me from a body that's just Too Good and those exposed nipples, well it's not working. #drizzy you might make Headlines being this sexual but you're Doing It Wrong because nipples have no place on Instagram!
.

#everydaysexism #equalrights #womensrights #equality #goosevsgander #topfreedom #handsoffmyrights #censorallnips #weareinthistogether",everydaysexism,|Your page is hilarious!! Thank you for making it 🙌🌹,15
13,13,"It’s not that hard of a concept

#feminist #egalitarian #egalitarianism #fembot #feminism #indiana #indianafeminist #wearethefuture #woman #womanempowerment #empower #empowerment #equality #equalrights #empoweredwomen #women #futureisfemale #femalefuture #thefutureisfemale #female #wearethefuture #metoo #timesup #yesallwomen #womensreality #imwithher #everydaysexism #tothegirls #heforshe #likeforlike #followforfollow",everydaysexism,|We never wanted flowers,18
14,14,"Always

#feminist #egalitarian #egalitarianism #fembot #feminism #indiana #indianafeminist #wearethefuture #woman #womanempowerment #empower #empowerment #equality #equalrights #empoweredwomen #women #futureisfemale #femalefuture #thefutureisfemale #female #bitchesbuildempires #wearethefuture #metoo #timesup #yesallwomen #womensreality #imwithher #everydaysexism #tothegirls #heforshe #fem2",everydaysexism,|So amazing! Send us a message!,8
15,15,"There are plenty of fish 🐠 on IG. But you know what else there is? ABSOLUTE 🗑.⁣⁣⁣
⁣
The solution: GO VEGAN 🌿⁣⁣⁣⁣⁣ &/or filter, block, ignore & delete. My personal fav: screenshot, save, & (anonymously) send to someone who would care.🍿 ⁣⁣⁣⁣⁣⁣
⁣⁣⁣
🖊: @feministandfluid ⁣⁣⁣⁣
🎨: ⁣⁣@missmauraaa",everydaysexism,"|#S4ER #fuckboysbelike #fuckboyshaming #babydaddydrama #liesyoutell #babydaddiesbelike #takecareofyourkids #dontneedyou #feministasfuck #feministaf #smashthepatriarchy #fuckthepatriarchy 
#toxicmasculinity #healthymasculinity #positivemasculinity #feministmom #boysdontcry #endthestigma #raisingthemright
#queerparenting 
#radicalfeminism #everydaysexism  #blackfeminist #raisingmen #letboysbefeminine",44
16,16,#Sexist predictive text #boysarebeautifultoo what’s worse? It probably learned that from me. #everydaysexism,everydaysexism,|😂🐾🐾,17
17,17,"Happy morning motivation!
Have a wonderful day :) •
•
•
#psa #podcast #realtalk #spillthetea #news #letsspill #consentissexy #feminism #feminist #believewomen #believesurvivors #whyididntreport #womensreality #timesup #metoo #iamanastywoman #imwithher #everydaysexism #tothegirls #whyistayed #movement",everydaysexism,|Wow,461
18,18,"New research says that women  ask for raises as often as men do, but they are more likely to be refused.

Source https://www.thecut.com/2019/03/women-do-ask-money-work-salary-raise.html

#wagegap #paygap #genderpaygap #womennegotiate #askingforaraise #salarynegotiations #leanin #theirrelevantproject #weunlearn #representationmatters #feminisminindia #indianfeminist #representationmatters",everydaysexism,"|#genderequalityforall #blacklivesmatter #representationmatters #poc #stereotypes #genderneutralparenting #genderstereotypes #genderbias #childrengames #illustrationartists #sexism #everydaysexism #feministmedia #feminisminindia #unlearnandrelearn #parentinghacks #raisekindkids|Really interesting, thank you for sharing this 👏|@layofftina swipe thruuuu",306
19,19,It’s actually not that difficult💙🖤💙,everydaysexism,"|#feminist #feminism #sexism #stopsexism #boyswillbeboys #womensrights #respectwomen #respecteachother #bekind #boys #girls #gender #genderroles #smashthepatriarchy #rapeculture #rape #stoprapeculture #everydaysexism #harrassment #assault #equality|Welcome to real world it doesn't work like that you can't just say stop you have to teach how to prevent|Stop telling men not to rape. Tell women not to report it when it doesn't happen|Seems so radical, but actually it just makes sense! 💪🏻💪🏻|Strong one. But it's more effective when we do both.",81
20,20,Bad grammar and bad toy. #everydaysexism 🙄🤦‍♀️💔,everydaysexism,|The only thing that surprises me is that the bricks aren’t all pink! 🙄|FFS 😩|Urgh!,9
21,21,"Sexism can be annoying but not shatterproof😉
.
.
.
.
.
.
.
#girlboss #everydaysexism #bossgirls #strongwomen #sasswars",everydaysexism,|discovered some great ways to counterattack 👊🏼🤪 #loveYourFeed|Hahaha... love reading it.. 🤪👍|What a great poster! 😊👍|This was such a fun and savage post!!! Loved reading it ❤️👍🏻|Wow I loved reading that🙌🙌,49
22,22,"For a long time, economists did not recognize unpaid work (housework) as  nor the bias that undervalued that work.

They either did not see it at all or diminished its importance.

Most of us are as guilty as the economists.

You will hear people say "" she is just a housewife."" But not as a compliment.

Housework :unpaid, undervalued and invisible.

#supermama#stayathomemom#workingmom#momhustle#better4kenya#unwomen#wecareforwomen#womenforwomen#africanwomen#ruralwomen#empowerher#menfeminists#afrifem#publicity254#ignairobi#domesticwork#unpaidwork#everydaysexism#genderequality#radicalfeminists#ugandangirlskillingit#womensreality#nigeria#ghana#blackfeminist#stereotypes#intersectionalfeminists",everydaysexism,|Yes ☺️👏 every single thing a woman does is work. There is no day of rest for a woman. Even at night she still works,46
23,23,"""Ich arbeite in einem Job, bei dem ich so gut wie keinen Kontakt mit Kunden bzw. firmenfremden Personen habe. Trotzdem fordert meine Chefin von mir, selbst im Sommer lange Hosen zu tragen. Auf meine Frage, wieso Röcke bzw. Kleider bei Frauen okay wären, kurze Hosen bei Männern aber nicht, hat sie mit ""Na weil Beine von Frauen einfach schön sind, Beine von Männern möchte ich nicht sehen! So tickt meine Generation nun einmal! (Anm. Sie ist 60, ich 36)"" geantwortet. Also müssen alle Männer selbst bei Temperaturen von 30°C und mehr lange Hosen tragen…""⁠
---------------------------------⁠
Schicke uns deine Geschichte über www. oidaitssexism .com⁠
----------------------------------⁠
#OIDAitssexism #Aufschrei #timesup #fightsexism #everydaysexism #sexismusimalltag #sexisminaction #Sexism #Sexismus #sexists #misogyny #sexismatitsfinest #sexismatitsworst #antisexism #antimisogyny #schweigenbrechen #awareness #equality #equalityforall #equalrights #gleichberechtigung #downwithsexism #notokay #beloud ⁠#tellyourstory",everydaysexism,"|Find ich gut, dass ihr auch Sachen von Männern postet - es sind nicht nur Frauen betroffen! 😳😫|Hey ich mag aber Männerbeine ♥️|So eine ähnliche Situation habe ich auch schon erlebt 🙄 so ein Blödsinn|Important to share these stories!",140
24,24,"Tags ————>
#feminisim #feminist #equality #women #woman #activism #socialmedia #love #awareness #discrimination #nohate #yesallwomen #society #socialactivism #activist #influencer #media #movements #everydaysexism #sexism",everydaysexism,|Here before the misogynists,12
25,25,"The original. Thank you, @serenawilliams 💜
. .
. .
""Don’t wait to be told your place. Take it. Don’t wait for people to find you. Find them — in work, love, and life — on @bumble."" 💜

#shopgood #yesallwomen #socialenterprise #whyistayed #fortheloveofmen #everydaysexism #imwithher #imanastywoman #metoo #timesup #womensreality #whyididntreport #believewomen #believesurvivors #unfounded #prochoice #shesaid #feminist #entrepreneur #economicsecurity #feminism #womensmarch #leanin  #womenentrepreneur #womenentrepreneurs #womeninbusiness #mompreneur #womeninbiz #womensrights #economicsecurity #InHerCourt 💜",everydaysexism,|💕 Hey love! We have an amazing mega coming Tuesday (10/15) we would love for you to join our amazing community of like minded women! We offer engagement and tips also! Can't wait to see you there! Head over to @beautifulmammatribe to sign up. 💕,28
26,26,"""You don't have to tolerate any behavior you don't like."" #mondaymotivation #friendlyreminder www.CareerDefense101.com⠀
.⠀
.⠀
.⠀
.⠀
.⠀
#stopsexism #inclusion #stopdiscrimination #stopbullying #feminismatwork #harassmentatwork #saynotosexualharassment #lifeasawoman #equalitea #workplaceharassment #stopsexualharassment #endsexualharassment #powerdynamics #genderequity #starttheconversation #womenwithvision #everydaysexism #feminismisforeverybody #weallwin #womenatwork #womeninleadership #successfulwomen #endthesilence #metoo #jobdiscrimination #toxicworkplace #badbehavior #settingboundaries",everydaysexism,|🔥🔥🔥🔥,11
27,27,Always just a “wife” even if you are Nobel laureate 🤬🤬🤬🤬🤬🤬🤬 #feminist #feminism #womenrights #nobelprize #nobel #feminists #womensupportwomen #womeninmedia #sexist #sexism #everydaysexism #equality #equalrights #equalpay #stopsexism #womeninscience #nobelprizewinner #womenrightsmatter #womenrightsarehumanrights #nosexism #sweetfemunicorn,everydaysexism,|💥 💥 💥,7
28,28,"NOTE TO SELF:
Trolls will never be your ideal customer. Do not engage with them or give them energy that should be going to those who will get value from what you are offering. Just report and block.
Repeat as needed. 💜

#shopgood #yesallwomen #socialenterprise #whyistayed #fortheloveofmen #everydaysexism #imwithher #imanastywoman #metoo #timesup #womensreality #whyididntreport #believewomen #believesurvivors #unfounded #prochoice #shesaid #feminist #entrepreneur #economicsecurity #feminism #womensmarch #leanin  #womenentrepreneur #womenentrepreneurs #womeninbusiness #mompreneur #womeninbiz #womensrights #economicsecurity 💜",everydaysexism,|Curious how you define trolls...,24
29,29,"“Do not go silent. Raise your voices. Use your influence to inspire the next generation of men to honor women”. -Angelina Jolie •
•
•
#psa #podcast #realtalk #spillthetea #news #letsspill #consentissexy #feminism #feminist #believewomen #believesurvivors #whyididntreport #womensreality #timesup #metoo #iamanastywoman #imwithher #everydaysexism #tothegirls #whyistayed #movement",everydaysexism,|👏👏👏,400
30,30,"Wine, cheese, tarot readings, and a collaborative profiling process targeting workplace equality. We are unmasking workplace abuse and giving people tools to protect themselves at work. 
For FREE tickets - click the link in our bio!

#Unmasked216 #WorkEnlightened",everydaysexism,|#cleveland #discrimination  #workplaceequity #workplaceharassment #blackwomenlead #anxiety #mentalhealth #blackmentalhealth #harassment #bullying #diversityandinclusion #timesup #salary #womeninthemilitary #whyididntreport #racialequity #womensreality #womenofcolor #womenatwork #everydaysexism #feminism #cle #216 #paycheckfairness #paychecktopaycheck #endworkplaceabuse #workplaceabuse,11
31,31,"Celebrating @madewithlocal today! 💜
. .
. .
""To say the last couple of weeks around here have been intense, would be an understatement. ⁣🤯
⁣
Has anyone else felt like this September didn't feel like a *normal* September? Instead of nestling into a cozy new routine our has felt swift, transformational, and full of discomfort and lots of learning. But all of it is teaching us and we are actively listening.⁣ ♥️
⁣
Last week we installed our very first piece of REAL food manufacturing equipment at our newest social enterprise bakery, an organization called Stone Hearth Bakery in Halifax, NS. This packaging line will be an epic timesaver and also change the look/feel of our packaging (which I admittedly have slightly mixed feelings about...but more on that later). ⁣😂
⁣
With these investments we are building the capacity and skills capabilities of our social enterprise partners as we all 'level up' together. Committing to growing in partnership with social enterprises as manufacturing partners is an innovative model and really we've seen, there's no existing roadmap. ⁣😳
⁣
It's challenging and exhilarating and seeing the impact that our partnerships have on these community-led organizations reminds that I have no interest in building this purpose-led company in any other way. Because our food's more than about the food. ⁣
⁣
We've got social impact, baked-in.✨"" 💜

#shopgood #everydaysexism #imwithher #imanastywoman #metoo #timesup #womensreality #whyididntreport #believewomen #believesurvivors #unfounded #prochoice #shesaid #feminist #entrepreneur #economicsecurity #feminism #womensmarch #leanin #womenentrepreneurs #womeninbusiness #mompreneur #womeninbiz #womensrights #economicsecurity #socialentrepreneur #sheeo #bcorp #localfood #handmadeinnovascotia #womenowned 💜",everydaysexism,|Thank you for sharing ♥️♥️♥️,23
32,32,"To all of the experts* in Wickes (*random men offering unsolicited advice to women/me): I was right and you were wrong. Cutting the bottom off the skirting and door jambs MY WAY worked perfectly - so sit down and shut up ♀
(This is not my first rodeo, and if you'd listened you might have learnt a thing or two!)💪🛠💪
.
#everydaysexism #diy #womenswork #itsamansworld #houserenovation #girlpower",everydaysexism,|YES!!!! I LOVE THIS POST!! The amount of questions and looks (and sharp intakes of breath through teeth) I got by random men when I was in BNQ buying a drill was unreal!! Us girls can do it... And usually better to be fair 😂💃🏼|Giddy up cowgirl 🐎👌😚|Of course shave off a bit of the bottom of the door 👌👍,23
33,33,"Baby you light up my world like nobody else.🌹
.
.
.
.
.
.
.
.
.
.
.
#explore #keepgoing #SaurabhThorat💕 #famosos #fambruh_wassup #coolestbadboi🔥 #everydaysexism",everydaysexism,|Hard na bhai|Khatarii🔥🔥🔥|Chawaaa😍🔥|💥💥💥|😘🔥❤️😍|Kbkk na Meri Jaan ❤️🔥🔥bro,35
34,34,"""Globally, 75% of unpaid work is done by women, who spend between three and six hours per day on it compared to men's average of thirty minutes to two hours... Men, meanwhile, have carried on engaging in leisure pursuits — watching TV, playing sports, playing computer games. US men manage to find an hour more spare time per day to rest than their female counterparts.""⁠
⁠
So no, it's not just you. And no, you're not making it up if it feels like you're always ""the busy one."" ⁠
⁠
What is one thing you can take off your plate? (And maybe put on your male partner's?)⁠
⁠
#motherhoodrising #motherhoodunplugged #motherhoodunfiltered #motherhoodintheraw #motherhoodintheraw #motherhoodthroughig #patriarchy #feminism #womensrights #radicalfeminism #intersectionalfeminism #maleprivilege #socialjustice #smashthepatriatchy #thisiswhyweneedfeminism #strongwomen #genderequality #addwomen #everydaysexism #fem2 #thefutureisfemale #resisterhood #idissent #representationmatters ⁠",everydaysexism,|I’m sorry unpaid work refers to household work correct? Men do more hours of paid work per day than women. Men literally just don’t have as much time to dedicate to unpaid work because they’re busier with their paid work. Paid work is also more exhausting than unpaid work which is probably why they need to rest more|So important to delegate the invisible/unpaid work!! 👌✊️|🙌🏻|This is a truly astounding thing thing to think about.|False. There are plenty of women who don’t work|There isn’t a single unemployed woman in the world? Wow!!!,324
35,35,"{🇩🇪⬇️}
🇬🇧🇺🇸 I’m wishing all of you a happy Monday and a good start into the week! 💜🥰
.
.
[unpaid add]
.
.
.
.
.
.
.
#bookish #alessandratorre #books #bookblogger #hollywooddirt #love #maybesomeday #romance #colleenhoover #everydaysexism #reading #laurabates #bookworm #uglylove #bookstagramgermany #bookdstagram #micaleasmeltzer #savingtatum #bibliophile #ilovereading #fangirl #christinebrae #inthislife #bookaholic #bookobsessed",everydaysexism,"|🇩🇪 Ich wünsche euch allen einen schönen Montag und einen guten Start in die Woche! 💜🥰
.
.
[unbezahlte Werbung]|I love this picture 😍|@brinaandthebooks hi there! Missed you.",70
36,36,"13 October 2019 🐦

Could discuss how lovely Nice is, could discuss how crackin’ this hot chocolate was, could even discuss being held on the tarmac whilst a drunk moron was removed from the plane (thanks for the two hour delay mate). But really, today’s caption needs to focus on two things. 1) My awesome sister loudly telling the other moron on the plane where him and his outrageous misogynist comments needed to go. That’s my girl 💪🏻 2) The pigeon photobombing this photo. Top work pal. 
#aphotoaday2019 #photobombingpigeon #allgirlstogethernow #everydaysexism",everydaysexism,|#nicefrance #cotedazur #ilovenice #visitfrance #frenchriviera #averagegirlsize #whatimwearingtoday #prettylittletrips #wearetravelgirls #thetravelwomen #dressoutsidethelines #girlsthatwander #postcardplaces #reallifeandstyle #europevacations #littlestoriesofmine #wherewewander #frenchcafes|I try,59
37,37,"Time to celebrate! After what has felt like forever ( 4 years!) The article I've been writing for @brightresearch has finally been submitted and submitted for pre-print. 🎉
.
.
.

I'm so proud of this achievement personally because it's been something I've been working on, on and off through bouts of illness, in between various jobs and navigating through time differences. 🍾
.
.
.

I can't tell you much about it till it's actually published but it's part of a research project into #femalegenitalschistosomiasis (FGS) We've also learned that this paper will be able to be citing for future funding opportunities for Bright. 🥂
.
.
.

Schistosomiasis is the second most prevalent parasitic infection after malaria. It's treatment is quick, cheap and easy but it's still horribly neglected and FGS especially has been largely ignored and unknow. One can't help but wonder if this is because it affects women, and specifically women in poverty. 👩
.
.
.

Hopefully my paper will put a dent in the education needed for healthcare staff to provide for their patients. Thank you to all my co-authors and my supervisor whose help has been invaluable and support has been amazing in moving this forward. ⚕️",everydaysexism,|#iamanastywoman #everydaysexism #yesallwomen #bindersfullofwomen #womensreality #womensrights #reproductiverights  #womenshealth #womenshealthwarrior #womenshealthmatters #womenshealthcare #womenempowerment #healthcare #healthiswealth #globalhealth #globalhealthcare #globalhealthaccess #globalhealtheducation #globalhealthresearch #globalhealthwarrior #healthresearch #healthresearcher #medicalresearch #medicalresearchers #medicalresearcher #medicalresearchmatters #womenshealthadvocate #womenshealthexpert #publichealth|Well done J -great achievement! You should be proud!|Congrats!|Well done J -great achievement! You should be proud!,24
