SeqNO,text,hashtags,comments,likes
0,"Tb to September when my hair was PINK! 😍 That was all I was going to say for this caption but then I started thinking... While I don’t believe in gender stereotypes in the slightest I love exploring and playing around with them. It actually took me a long time to be comfortable with loving the colour pink if you can believe it! I would question if I was only drawn to it because of deeply rooted stereotypes. Honestly, perhaps that IS the reason. I haven’t figured it out and I’m still unpacking a lot to do with expectations that are placed onto both genders.

However, I’ve realised I need to be kinder to myself and not push myself to rebel against everything. I’ve accepted that pink makes me happy so umm, expect to see more pink hair in the future! :) 💘💘💘 Have you ever thought about reasons you might be drawn more to traditionally feminine/masculine things?",genderstereotype,"|#pinkhair #pinkaesthetic #hair #pink #selfie #love #alternativegirl #pinkhairdontcare #fashion #beauty #instagirl #girlselfie #genderstereotype #feminist #feminism #empowerment #feminists #equality #girlpower #womensrights #genderequality #selflove #selfcare #loveyourself #positivevibes #happy #selfworth #instagood #confidence #bodypositive|❤️|My dad basically raised me until I was 5 because my mum worked so much. I think I grew up wanting to be a boy because he wanted a son. I’ve always been drawn to more “masculine” things, despite looking and presenting very feminine. My partner is way more feminine than masculine and points out that I embody ‘toxic masculinity’ more than he does— which isn’t wrong! This is something I’ve been thinking of for quite a while now!|Figuring out what's intrinsic and not is so difficult! It's an interesting journey though.|Wow💖💖💖",72
1,"Plan International Deutschland e.V. hat die 56 umsatzstärksten Filme aus dem Jahr 2018 in 20 Ländern auf Genderstereotype untersucht. Nur in einem Punkt haben die Frauen die Männer übertrumpft: In Nackt-Szenen.
#1LIVE #Kino #Genderstereotype",genderstereotype,"|Männer bleiben eben Männer und Frauen eben Frauen was anderes ist schlicht und einfach wider natürlich|👎🏻|Unwas ??? 😉|Warum sind wohl Filme mit starken mannlichen Rollen und nackter Haut beliebt. Männer stehen auf Action Filme und Frauen auf schnulzen mit liebes szenen. Rein Stereotyp betrachtet. Männer und Frauen beeinflussen das folglich beide in diese Richtung. 🤷🏾‍♀️ Man kann halt auch aus allem ne gender Geschichte machen. Kein Wunder dass keiner mehr Bock auf das Thema hat wenn es so zerkaut wird|Wayne juckts?|Schöner Schreibfehler... übertrumpt! 😂|Und was soll das jetzt genau Aussagen?|Dafür sterben in den Filmen auch mehr Männer...|@sveggi_ @barbie_dur @xtina_gerbr8|Ehm cool. Denk ich. Oder? Warte was jetzt damit?|Und am meisten enttäuscht mich dabei, dass wir viel zu wenig nackte Männer sehen😂|Meeeeine Güte, dafür holen Frauen das im Alltag nach...|@jojo_joram|In den 56 umsatzstärksten Filmen.... warum liegt hier Stroh?? 😂|Und jetzt?!|Ganz einfach wir Frauen brauchen eben nur 33 % um alles wichtige in diesen Filmen zu sagen😎 der Rest ist dann wohl relativ unwichtig😋|Reicht es nicht, dass Frauen im echten Leben mehr Quatschen? Wenigstens im Film kommen die Kerle mal zu Wort.|👌🤣zu recht|Finde ich als Frau (fast) gar nicht so schlimm, weibliche Rollen sind in meinen Augen oft nervig und übertrieben, da verzichte ich lieber|Total unrealistisch. Frauen reden 200% im echten Leben. Filme sind daher ne gelungen Abwechslung 🤷‍♂️|Frauen sind nackt einfach schöner als Männer 🤷|Ist über-trump-t ne Freud‘sche Fehlleistung? 🤪😂|Na und? Ist doch egal welches Geschlecht, letztendlich kommt es doch auf die Schauspielkünste drauf an|Schade, das ausgerechnet immer die Frauen mit der „sex sells „ Methode vor die Klitsche gebracht werden. Und dann soll man Frauen ernst nehmen, wenn man nur sowas sieht ? Kaum sieht man Männer die sich nackt präsentieren. Genauso wenn eine Frau komplett Pudel Nudel gezeigt wird in einem Film, warum ist dann nie der Long dong von einem Mann zu sehen ? Bsp. Got, Frauen ohne Ende von oben bis unten nackt. Aber wenig  Nudeln. Fairness im Film ? Gibt es nicht. Genauso wie Werbungen. Wie ätzend immer eine nackte Frau zu sehen die am Ende Parfum , Burger oder Autos vorstellt .. aber naja,|@la.lalaura und @svenjas.lens ... inhaltliches, für den nächsten Workshop 👩‍❤️‍💋‍👩|Und 99% fällt's doch gar nicht auf, also wayne interessiert's. Geschaut haben wir die Filme trotzdem und fanden sie vermutlich auch gut 🙄|Ja und bezahlt werden sie doch alle gleich ? Und wollt ihr lieber mehr nackte Männer sehen ?|Ist mir scheißegal. Wirklich. Wenn diesen Stereotypen in den umsatzstärksten Filmen entsprochen wird, heißt das doch, dass es einen Markt dafür gibt. Dass Menschen genau das sehen wollen. Und dass noch mehr meiner Meinung sind: Ist mir scheißegal. Wenn der Plot das hergibt, dann ist die Frau eben tough. Oder clever. Oder reif. Oder nackt. Und wenn mir der Plot nicht gefällt, schau ich mir diese Scheiße nicht an. Und ihr verschwendet nicht wichtige Zeit und Ressourcen, euch mit so einem Schwachsinn zu beschäftigen. Warum kann das Leben nicht immer so einfach sein? Es würde mir zu denken geben, wenn Filme beliebt sind, in denen Frauen nicht viel reden. Ich meine, mal ernsthaft: Was erwartet ihr denn? Was erwartet man jetzt, nachdem diese Zahlen erhoben und veröffentlicht sind, von mir? Dass ich auf die Straße gehe, damit Michelle Rodriguez im nächsten ""Fast and the Furious"" 'ne Archäologieprofessorin spielt?|Was ist das für ein Verein? Besteht deren Gemeinnützigkeit daraus Probleme zu machen, die keine Relevanz haben mittels Antworten auf ungestellte Fragen? 🤔|Wenn hier eine Frau kommentiert das dass ihr egal ist kommt direkt als Antwort das dass traurig und sie keine Ahnung hat hahah 😂Meinungsfreiheit und so|Ihr habt Probleme... Kümmert euch um wichtige Dinge. Wir haben andere Probleme in diesem Land|Tja 1live...ihr steht wohl ziemlich alleine da mit eurer Meinung!?|#fakenews, zeig mir nur eine Frau die jemals, egal wo oder wann, nur einen 33% tigen Redeanteil hatte ;-D|Gott sei Dank gibt es heutzutage keine anderen Probleme 🤦🏽‍♂️|😲😞|@drehaaa|I don't see the point... Ich meine die Aussage, dass es die umsatzstärksten Filme sind, sagt ja schon, dass die Leute die Filme trotz all der Widrigkeiten gesehen haben und das gerne.|33% Redeanteil gibts für Frauen auch echt nur im Film... 😂|Und im WDR gibt es nun auch „Mann TV“? 🧐😂 Alles gut! Die richtige Mischung macht’s.|1/3 Redeanteil bei 1/3 der Rollen ist ziemlich positiv zu bewerten oder irre ich?
Nackte Männer sind tatsächlich seltener, habe ich zugegeben aber nie vermisst 😅|Wenn sie die umsatzstärksten Filme 2018 waren, kann das nicht nur an männlichen Kinogängern liegen. Ich denke, dass auch viele Frauen da rein gegangen sind und von diese auch gezielt ausgesucht haben. Sci-Fi, Robots, Politisches etc. finden Frauen auch gut. Während Männer deutlich seltener zum Liebes- oder Esoterikgenre greifen. Man sollte sich den Prozentteil der dort vertretenen Frauen in Drehbuch und Darstellern mal anschauen. Das würde mich auch selbst mal interessieren. Ich finde man sollte jedem die gleichen Chancen geben. Aber bitte nicht versuchen Menschen ein Bewusstsein auch für ihre Zerstreuung einzutrichtern. Ich möchte gerne in die Filme gehen, die ich mag, die gut sind und nicht durch political correctness ihre Kreativität verlieren. Dann sehen sie nämlich irgendwann alle gleich aus.|ALS. NICHT WIE. 🙄|Ich wüsste keinen Film 2018 mit nacktszenen|@maik_checkonetwo|Aha.|33% Redeanteil... Deshalb kommen mir die Filme alle so unrealistisch vor.|🤷‍♀️|🤦‍♂️",2520
2,"👶 Gender-stereotyped toys: fascinating experiment via @bbcstories.
.
👧👦 This is what happened when a boy and a girl swapped clothes. It highlights the impact of subconscious gender stereotyping young children #NoMoreBoysandGirls
.
At Whirli, we don’t categorise toys based on gender because we believe in expanding children’s choices and opportunities. We want them to pick whatever toy they want and not be limited by what someone else has decided is “for girls” or “boys.
.
Let us know your thoughts about the video 👇👇👇
.
.
#Whirli #GetPlayGiveRepeat
#GiveItAWhirli

#ToyLibrary #StopShoppingStartSwapping
#Toys #Parenting #ToddlerToys #ChildrenToys #SharingToys #ReduceWaste #ToyClutter

#GenderStereotype #SustainableToys #PlaySustainably #ZeroWasteGoals #SustainableLiving #SustainablePlay #PlanToys",genderstereotype,"|Finally!|""you're a good little..."" Awful. . Also can't see the point of the experiment... We all know it happens in society. Why can't we just talk about the major benefits of dolls for young children of all sexes|I remember learning about a study like this when I was at uni in the early 2000s. It's interesting (and sad) that this is still going on now. Even more interesting is that so many of the adults involved truly believed that they would not behave differently according to the (perceived) sex of the child.|@marydolllawson",70
3,"Smiling my way through the rollercoaster of bullshit and miracles that continue to dominate our current social climate. 🌹
_
Shout out to all of the organizational leaders fighting for social and environmental justice every god damn day of their lives. 🙌
_
Shout out to all of the artists using their work to shift perspectives on some of the most challenging social and environmental issues. 🏆
_
Shoutout to every single activist and advocate who is tired of living in fear, and is doing everything they can to stand in the face of corruption and escapism. 👊
_
You are not alone. 
I see you.
I am you.
Our efforts will not be in vain. ❤️
_
NOW IS THE TIME TO RISE. ✊
_
📸: @speyerphoto 
_
Performing The Legend of Mulan, a tale of a woman who rejects gender roles to save her family, inspire people worldwide. 
_
@libfestival @grandartique with @palmsdaydream and @theurbanunicorn",genderstereotype,|#performingartist #art #activism #socialimpact #performer #dance #create #womenempowerment #genderempowerment #risenow #riseup #nowisthetime #socialissues #genderstereotype #mulan #womenandgirls #likeagirl #performanceart #leadership #organizationalleadership|Beautiful 👌👌|❤️❤️❤️|Yes!!! !😄🙌👍,205
4,"Her brother may have been living his best life at his party but this child was most definitely not.
She made it a meter and a bit up the wall and called quits.  Went back to decorating the party room and setting the table with me. 
And she’s the one who doesn’t mind heights. 
Poor little princess warrior.

She’s already planning her fairy birthday for 6 months time. .
.
.
.
#girlygirl #sistertoaboyishboy #genderstereotype #mygirlygirl #rockclimbing #climbingwalls #rockclimbingparty #kidsparty #sydneykidsparty #sydneykidsparties #littlelady #allthingsmomsydney #northernbeachesrockhouse #brookvale #allthingssydney #sydneykids #sydneyfamilies #aussiemumblogger #littlestoriesofmylife #bloggermom #momlifeisthebestlife",genderstereotype,|Oh shame the look on her little face! Well done to her for giving it a try!|Oh shame the look on her little face! Well done to her for giving it a try!|Hi dear 🌸 SIGN UP for Mega Follow Train on 24th September. Go to @_chic_tribe and grow your influence + connect with others.  It's simple and fun💛🌸🌸,36
5,"Great #interactive #html based #artinstallation informed by a myriad of experience and redefinition of boundry - elements include + are not limited to #insomnia #gaming, #computerprogramming,  examinations of #socialconstruct and #genderstereotype.  #TRANSFER presents #BlackRoom by @CassieMcQuater  You have to play it to feel it - become bathed in beautiful colors and teased by somewhat familiar #motifs, known also as #sprites in the #computergame world. The #animated elements float about on constant courses of flight and return - all is guided by the player's hand and a #computerprogram #designed by the artist, supported in part by #ripping in the #opensource community.  Dreamy tensions evolve while one travels through an everywhere of #virtual lands and levels until you arrive? Inviting thought and available everywhere, for now, at @TransferGallery and the #artistwebsite. 
On display in #DTLA until Nov 2, 2019. 
#nextlevel
#art #VR #digitalart  #immersive #interactive #artgallery #blahblahblah",genderstereotype,|Holy faaaaack|🖤🎮💕,29
6,"Heute morgen habe ich den Gastbeitrag ""Warum ich als Dax-CEO auf Instagram bin"" von @oliver_baete - Vorstandsvorsitzender der Allianz SE - in der Ausgabe 2 der Zeitschrift @join_ada gelesen. Herr Bäte stellt u.a. heraus, dass er auf Instagram ""Frauen"" erreichen will und auf seinem Kanal auch ""tüchtige und erfolgreiche #Frauen"" vorstellt. Allerdings berücksichtigt er Frauen* sprachlich nur 1x in seinem Artikel - ""Mitarbeiterinnen und Mitarbeiter"". ""Unternehmenslenker"" können anscheinend nur #Männer sein, ""das jugendliche Engagement der Teilnehmer"", ""[e]in tolles Medium, um mit jungen Kunden und Mitarbeitern weltweit Kontakt zu halten""... hier werden Frauen* sprachlich nicht sichtbar gemacht. Mir reicht es nicht mehr, sprachlich nur mitgemeint zu sein, vor allem, wenn ich eindeutig als Zielgruppe definiert werde. Frauen* und ebenso nicht-binäre Personen müssen auch sprachlich sichtbar gemacht werden, denn #Sprache beeinflusst unser #Denken! Eine gendergerechte Sprache kann dabei helfen, #Genderstereotype abzubauen.

Deshalb habe ich Herrn Bäte hier über #Instagram kontaktiert - ich finde es übrigens wirklich positiv, dass er Instagram nutzt. Ich habe ihm folgendes geschrieben:⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ""Hallo Herr Bäte,
ich habe heute Ihren Artikel ""Warum ich als Dax-CEO auf Instagram bin"" in der Ausgabe 2 der Zeitschrift ada gelesen. Sie sagen, dass Instagram Ihren Wunsch erfüllt hat, ""[k]ommunikativ präsent [zu] sein in der Altersgruppe 25 bis 34 Jahren und bei Frauen. Also dort, wo meine jungen Mitarbeiter und meine morgigen Kunden sind."" Sie sagen, sie stellen auf ihrem Kanal ""Mitarbeiter vor, insbesondere tüchtige und erfolgreiche Frauen.""⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Frauen* scheinen Ihnen wichtig zu sein. Warum sprechen Sie sie dann nicht auch ""sprachlich"" an? Ich bin kein Mitarbeiter, ich bin eine Mitarbeiterin. Und ich bin auch kein Kunde, ich bin eine Kundin. Sie sagen, sie möchten ""als Mensch mit einer Aufgabe und einer Persönlichkeit wahrgenommen werden"", das würde ich auch wollen, noch dazu würde ich gerne auch wirklich angesprochen werden und nicht nur im generischen Maskulinum (Mitarbeiter, Kunden) mitgemeint sein. *** weiter in den Kommentaren ***",genderstereotype,"|Wenn es Ihnen also wirklich so sehr um Frauen* geht, sprechen Sie uns doch bitte auch an, anstatt uns nur mitzumeinen. 
Um außerdem auch Personen einzubeziehen, die sich als nicht-binär identifizieren, könnten Sie bspw. auf das Gendersternchen zurückgreifen. 
Mit freundlichen Grüßen""  Den Artikel mit Herrn Bäte findet man übrigens auch online beim Handelsblatt. Ich habe einen Auszug mal in meine Story gepostet.|#paris #gender #stereotypes #bookstore #bookworm|Love it! ❤️",17
7,Gender does not determine a human’s behavior.,genderstereotype,"|#writerstag #soulwork #spilledink #wordswithqueens #amwriting #writersofig #writersofinstagram #quotes #writer #writers #selfimprovement #psychology #resilience #emotionalintelligence #mindfulness #motivation #inspiration #inspirationalquotes 
#femalewriters #femalewriter #relationships #gender #genderequality  #genderacceptance #femaleempowerment #femalestereotypes #malestereotypes #genderstereotypes #genderstereotype  #genderstereotyping",31
8,"My sense of self worth has been battered my whole life, but it’s been especially low last 4 years, so when I turned up to work a pretty shit-kicker low skilled casual job, I wasn’t expecting to have to negotiate this (non-malicious BUT really clumsy) shit... #fknhell #thinkforasecond #peoplearenotdefinedbyBREEDING #genderstereotype #ageism #womenarefunny #ffs",genderstereotype,"|😐😐😐😡😡😡 I mean, what the actual fuck!? Agh, I need some breakfast wine to wash this away.|Amen. 🙌|Ugg, I find the non-malicious, mindlessness of unexamined stereotypes and biases the most exhausting. They’re the ones most likely to get defensive if you call it out. At least with a father truckin’ shunt everyone knows where they stand.|Urgh. Man-children are the worst. I feel your pain. ❤️|😱😬😡|🤢🤢",35
9,"Just managed to pop out of the office for a quick 5k around the lakes. Felt amazing to run with a bit of breeze and rippling water beside!-
-
Got a new haircut too! 😁 My four-year-old daughter recently chose a new hairstyle that involved cutting her long hair. She loved it - and she looks fantastic - but I think someone must’ve said something to her about short hair being just for boys. -
-
I loved picking her up from school yesterday and asking her if she still thought short hair was just for boys. -
-
She just smiled at first - obviously lulling me into a false sense of security that I effectively got my mum gender stereotype message across - then she laughed and said: “You are a boy, mum.” 🤦‍♀️🤷🏼‍♀️-
-
-
#mumswhorun #marathontraining #marathonprep #runningmotivation #mummyanddaughter #expatwoman #expatmum #genderstereotype #genderstereotyping #fitatfortyplus #healthylifestyle #lovelife #run1000miles #imabadassmotherrunner #trailrunning #loverunning #fightingchronicillness #invisibleillness #chronicidiopathicurticaria #hokaoneone #garmin #salomonrunning #salomon #unfittoultra #unfittoultramarathon",genderstereotype,"|Love the hair very glamorous 💕xx|Love the colour 😎🙌😍|Jolie Coupe de cheveux💇|Rocking the short hair, love it x|Love the cut! Looks great on you 🔥|Love your hair style, but I'm not at all biased! Nice to know I've been a boy since forever!! 😆 I cut off my long hair at primary school coz I hated the hassle back then! Xx",72
