SeqNo,text,hashtags,comments,likes
0,0,"If it doesn't challenge you it won't change you 💪

Trained by @ravi_kulai

#womensrights #intelligence #smartwomen #growth #tranformation #instafit #empoweringwomen #gym #workout #girlpower #fitlife #fitindia #womenpower #womenfitness #workingwoman #heforshe #BeBoldForChange #egf",heforshe,|💪💪🏋,47
1,1,༄The Perks Of Being A Wallflower Premiere London (2012) ༄,heforshe,"|#emmawatson#emmawatsonfanpage#feminist#emma#actress#harrypotter#potterhead#hermionegranger#hollywood#photo#heforshe#idol#nickimoore#instagood#movie#followme#emmawatsonlove#emmawatsonfan#followers#watsoner#weloveyou#emmacharlotteduerrewatson#emmawatsonstyle#angel|My Beautiful Love Emma my love for you My words can't express the loving feeling I feel , I hear in music your love is the music of my heart it opens the doors to my heart My heart sings for you with sounds and sweet feelings inside . I Love you with all my heart you are the music of my heart . ❤👄❤👄❤👄❤👄⚘⚘⚘⚘⚘⚘❤⚘⚘⚘⚘⚘⚘",75
2,2,,heforshe,"|#soropositivos, #sororidade, #heforshe, #vidaplena, #igualdadedegeneros, #hivaids, #hivpositivo, #façaacupuntura, #acupunturista, #sorodiscordantes, #vidasimples, #voluntariado, #fazerobemfazbem 😍😍😍😍|👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏🙌🙌|Bravooooooo",7
3,3,"Querid@s Amig@s Instagramer@s, hoy participé en #JuntaConsejo en #ONUMujeresMéxico, les comparto que traemos #EstrategiasDeImpacto en pro de la #Innovación para generar programas de #Inclusión y alcanzar la #IgualdadDeOportunidades para #MujeresyNiñas.  Sin duda tenemos muchísimo x hacer, estoy feliz de sumar y construir en favor de la #Agenda2030 porque quiero una #SociedadPróspera para #todas y para #todos #AquíVamos #Sumando #HeForShe #SheForShe #ONU #SociedadesIncluyentes #SociedadesSostenibles #SociedadesFelices",heforshe,|👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻💖|❤️❤️|Acuérdate de los niños especiales como mi Paola|Me encanta tu #NuevoLook y el gran trabajo que estás haciendo. Arriba y adelante! 👏🏽,43
4,4,"Sobre aceitação:
.
""A aceitação de uma situação não desejada libera a iniciativa, aliviando-a das cargas impossíveis e transferindo o foco da ação para o possível
.
A aceitação libera o aceitante das cadeias da autopiedade e lhe requer coragem para seguir apesar de...
.
Já foi dito que uma mente imatura procura um mundo ideal mas, querendo ou não, precisamos encará-lo como ele é, muitas vezes cruel e inconsciente
.
Em última análise, talvez seja esse o início da sabedoria, apenas a simples admissão de que as coisas nem sempre são como queríamos. E tudo bem. Porque, no fundo, nós somos imperfeitos e não tão bondosos como gostaríamos de ser.""
(Autor desconhecido)
.
Eu amei isso, gente! Bjus, boa noite, bons sonhos!
.
Grazi💗",heforshe,"|#superação #empoderamento #suavozimporta #impactosocial #juntassomosmaisfortes #belohorizonte #autenticidade #cadamulherconta #mulhereselétricas #aquiestaoasmulheres 
#autoestima #autoconhecimento #amorpróprio #permitir
#amorexigente #codependênciaemocional #codependêncianuncamais #heforshe #rme #soeupossomasnaopossosozinha #alcoolismo #mentoria #palestra #palestrante #escutaativa|Gra onde vc estava?",22
5,5,She looks so natural and pretty aww ❤️💕 @emmawatson,heforshe,"|#emmawatsonedit #emmawatsonhot #emmawatsonlove
#watsoner #emma #watson #omgpage #emmawatsonfans
#emmawatsonfanpage #emmawatsonfan #emmawatsonstyle
#emmawatsonlover #emmawatsonforever #emmawatson 
#emmacharlotteduerrewatson #heforshe #oursharedshelf #timesup|😍Pls like and comment on my recent and if u want u can also follow me💖💖💗💗😍😍😍😘😘😘😭😭😭😭💎💎💎💎💎💎|@watsonspride Yeah!! the things are so in Her!! in Emma!!💗💝💝💝💝💝💝💝💝💝💝💝💝💝|🌹❤️",57
6,6,Happy Birthday to Sego supporter and rockstar founder of @tinkerventures Erin Valenti today. Wish you were here to celebrate with us. Thank you for being a shining star who we looked up to.,heforshe,|#segoawards #utahlocalbusiness #shecandoanything #utah #saltlakecity #provo #ogden #stgeorge #lehi #orem #womenwhobuild #femalefounders #womenceo #femaleempowerment #ambitionplan #empowerher #heforshe #sheforshe #womensupportingwomen #communitycollaborative #strongertogether #femaleentrepreneurs|Prayers to her family.|prayers to her family and friends. what a genius ❤️,59
7,7,"Beauty, sweet love, is like the morning dew. Beneath the makeup and behind the smile I am just a girl who wishes for the world. Makeup is not a mask that covers up your beauty; it's a weapon that helps you express who you are from the inside. #soniamajeed #Hayyakum2020 #SDG #expo2020 #ActLocalGoGlobal #GlobalGoals #tiktok #เจ้าพ่อเวดดิ้ง #fashion #superstarsinger #unwomen #wethepeople #GlobalPeace #messengerofhumanity #greendenlife #ShesAGirlFirst  #DubaiAMLife #MyBodyisMyBody #heforshe #girlsup #shesthefirst #happiness #dubai #mydubai #abudhabi #uae #love My #fans N #followers",heforshe,"|Makeup is no different than clothes and accessories - it's embellishments for your face. And it also gives you creative freedom. You get to have that moment in front the mirror every morning and give yourself self-love. You're making yourself up beautiful, which is essentially self-love.|Beautiful",14
8,8,Together♀️,heforshe,|#WomensReality #Timesup #MeToo #EverydaySexism #ToTheGirls #HeForShe #YesAllWomen #EffYourBeautyStandards #GirlsLikeUs #AllMenCan #Feminist #Feminism #GirlsUnite #BlackGirlsAreMagic #SayHerName,17
9,9,"The reality for a lot of women isn’t easy. Male privilege isn’t saying that men don’t have issues and struggles but they don’t have any based on their gender. Male mental health and the lack of awareness and their ability to talk about it is less because they’re locked into this form of ‘toxic masculinity’ that stated they had to ‘be strong, tough and show no weakness’. Toxic masculinity is a byproduct of patriarchy. It did not just affect women, but men also. It still exists in today’s society. Feminism fights for that equality. Feminism didn’t cause the male mental stats, patriarchy did that. We need to know the enemy and work together. You don’t have to be a women to be a feminist
.

#feminism #feminist #rapeculture #sexism #patriarchy #kavanaugh #brockturner #toxicmasculinity #change #equality #metoo #timesup #heforshe",heforshe,|We generalize all men and all women,115
