SeqNo,text,hashtags,comments,likes
0,"“WINNING TEAM”🖱💂🏽‍♀️💂🏾‍♀️💂🏼‍♀️
Shot by: @krazylifety2nice 
Mix & Mastered by: @_capgotthebeats 📈📈📈
#newmusic #commingsoon🔜 #7LG #youtuber 
#artistsoninstagram #artist #share #explorepage #views #video #slutgate #best #comment #like4likes #share #subscribe #downrivermi #outnow",slutgate,|Fire 🤯🔥|Yessir 📈📈🔥|This heatttt👿|Winning Team 🔥🔥🔥🔥🔥|But I Got these bands she go use Me 🔥🔥🔥🔥🔥🔥👨‍🚀|Say we on tour wit it !!! FashO|Keep up the Good work|This shit 🔥🔥🔥|#CRN💎🏴 🌐🎶🔥🔥,39
1,El hefe aka the boss aka meek mill brother aka coolest mf in ever! #robertkraft #slutgate #espn #foxsports #stairwayto7 #stopchasingthemhoesjesse lol get yours bro and let um hate #Leggopats,slutgate,|He just signed with meek|Aka $79 prostitution purchaser lol,15
2,"Somewhere on a farm, Mr. & Mrs. Gate often wonder where they went wrong... #50ShadesOfGates #GateLust #SlutGate",slutgate,|That's hilarious,8
3,#sundayfunday#sisinlawandbroinlaw#bomb#slutgate,slutgate,|Bomb!!!,32
4,?,slutgate,|Alot of sluts live in southgate. #slutgate|Get me some e85 though|I live in Downey which is kinda close to Southgate lol|@supraman_2jz ugh I guess we can be friends n hang out. You're gnna be my new @awdalbert|@onmylevelperformance  gnna live a couple blocks away from Walter's old pad haha|@tony____ruiz  #lookingforwardtoit #slutgate|@tommyucf20 sweet!!!!! U can educate me on wheels|Abbott mane @onmylevelperformance|Near the tacos! Haha @onmylevelperformance,7
5,"A Valentine's Day treat for you all 🐾🐶⭐️ it's been a really tough year for me after the whole #slutgate but I just want everyone to remember to be a strong independent b***h (aha!!) like me 💫🌹❤ stay strong singletons, someone is out there for us all 🌹❤💋 drop me a DM for a date 🍸🐾🐶 @guykensdale YKTD 🌹",slutgate,|Ebbs we all miss you... when are you next going to post? Xx|@matthew__roper soon hun!! Patience is key 🐾🐶 xxx,29
6,#wheels #missedher #slutgate #fuckit #mynigga #lit #heyyall 🖕🏼😏 @ciaracaron,slutgate,|Slutgate hahahha|The best of times 😏🤘🏼 @erin_serena,10
7,"lock me up and throw away the fucking key. Then when I'm dead put me inside a Camembert, throw me in a loaf and shove garlic all over me. Then bake my arse for 20 minutes and cry with happiness. Delicious bastard. #cheese #camembert #slutgate #notslim #fatty #fattyboombatty",slutgate,"|If you could just bring that over, that would be just lovely. Cheers.|You are going to smell delightful very soon|@iamjaff omgzz 😍|#FuckThatsDelicious|Sensational caption|😂|Wooooh #domesticgoddess",60
8,as if 🤖 #toadstools #lily #daisy,slutgate,|😂🙌|Lol you finally went !|@natmilla yup! 😭|where's that|Your in the hood today|@thebait.shop #slutgate,33
9,Apparently he doesn't want to sit with me...,slutgate,"|He's growing up....lol|You're not cute 😏|""I just don't know why Arianna thinks she's alllll that, just because old men hit on her allll the time...."" @brittenywithane|#slut|@brittenywithane #slutgate|#SpoonWhoreGate|@brittenywithane Benson!?! You hacked into Brittenys account!?!|😈|@brittenywithane #icegate|#FlipPhoneGate #WetDreamGate 🙈|Hahahah @brittenywithane #wheredyoumeetyourgirlfriendgate|#SecurityGuardGate👮🏻|#whoissinglegate @brittenywithane",23
10,OMG #tbt to when we thought this was cute @kaiyalethe11 @aaal_e #slutgate #superior #wisconsin #duluth #freshman 🙈,slutgate,|This is so great|The leggings with the sandals though....lolol|😂😂😂😂😂|Good times,9
11,"@boagdacious is the best at capturing my persona to a T. 
#slutgate #doodlesbyboag #bardrawings",slutgate,|This is perfection haha Nixon would be proud,13
12,found an old friend at mad decent ☺️ #slutgate #represent @amandalowe,slutgate,|So happy I got to see your beauty face|So good to see you friend!! ❤️|Ur basic,30
13,O gawd #slutgate nights haha #tbt @aaal_e .. I was in a duck face phase #duckface #club #duluth #umd #love #happy #missit still going strong baeee😘,slutgate,|Awwww bebe :) :) :) ❤,4
14,Day 25; in my town.. #nothingexcitinghappens #boring #slutgate,slutgate,|Haha. You nailed it.|But our street looks nice at least.|Yeah(: all the leaves are pretty|@that_ginger_corey we need more red trees!!! I like the red trees!,2
