SeqNo,text,hashtags,comments,likes
0,0,"Look at these simple cuboidal cells from my anatomy class 😂 they're from a human kidney Oop -Lila🌼💛
•
•
•
#feminism #feminist #equality #blm #lgbtq+ #safespace #pride #equalpay #mybodymychoice #prochoice #snowflake #support #reproductiverights #savethebees #scienceisreal  #asexual #bisexual #pansexual #wagegap #abortion #loveislove #gayagenda #fem #gay #trans",wagegap,|they look like palisade mesophyll cells from the leaf|Okay but pretty much everyone can agree. Just go somewhere else lmao,178
1,1,"Rule #4 - Ask for more ladies! 💰⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
A key component of building wealth is continually striving to increase your income.⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Whether this means negotiating new business contracts or negotiating for a higher bonus at your corporate salary, remember - you are in control!⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
You do not have to simply settle for what you are given. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
You can proactively build wealth and increase your net worth through negotiation 💪🏼⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#personalfinancewarrior #wagegap #genderpaygap #womeninfinance #negotiation #womensrights #womensempowerment #financecoach #moneycoach #empowerwomen #hersuccess #moneygoals #equalpay #womensupportingwomen #womeninbusiness #shemeansbusiness #femaleceo #bossladymindset #womenhelpingwomen #womenandmoney",wagegap,|💯💯💯 Go ladies 👏,10
2,2,"Introducing another of the amazing women profiled in “Counting the Hours: Art, Data, and the Untold Stories of Women’s Work.”
.
Renée is a nationally and internationally known sculptor and contemporary artist who has received numerous prestigious awards and whose work is in the collections of America's top museums. Still, even with this level of success in her field, she struggles with keeping up with her paid work plus all the unpaid tasks required to run her business and her life.
. 
If you find this surprising, consider that on average, women visual artists they earn 74¢ for every dollar made by male artists, and black women working in all fields earn on average 65¢ for every dollar made by white men.*
.
In the sculpture about Renée, solid wood boxes represent paid labor hours and wireframes represent unpaid labor hours, as unpaid labor often goes unseen and unrecognized. Open spaces represent hours when Renée was doing anything other than working.
. * Source: National Endowment for the Arts
——
“Counting the Hours: Art, Data, and the Untold Stories of Women’s Work” runs through Nov 2 at @codeandcanvas in SF. Public participatory event Oct 26-27.",wagegap,"|.
.
.
.
.
.
.
.
.
.
#artist #artwork #abstractart  #fineart #contemporaryart #sanfrancisco

#nonprofit #nonprofitart #activistart 
#datavisualization #dataviz #data #infographic #artandscience

#equalpay #equalpayday #genderpaygap #genderequality #wagegap

#womenswork #WomenSupportingWomen #womenartists  #womanartist  #feministart #feminism #carryingstones #carryingstonesproject #seewomenswork 
#countingthehours #womenleaders|I can relate.|❤️❤️❤️",31
3,3,"🤨A Gender Gap In Ballet, Seriously?⠀
⠀
In an article in @forbes, Kim Elsesser wrote that according to the @dancedataproject, “72% of ballet companies have a male artistic director. Those women who do get the title of artistic director earn only 68 cents for every dollar earned by their male counterparts. Only one woman made it onto DDP’s top ten list of the highest-paid artistic directors.”⠀
⠀
Young girls are estimated to outnumber boys 20-to-1 in ballet classes. At the leadership level, however, is where the gender gap begins. This is similar to the health and beauty industry, another one that femme folks are more socialized to. A shocking number of makeup companies are owned by parent companies who are owned by (you guessed it!) men.⠀
⠀
Although we know dance has no gender, young girls are encouraged to participate in activities like dance. The argument is not that “ballet is for women” - because it’s for everyone. The argument is that the leadership of any trade should match the majority of its employees and that all leaders should be paid equally. #wagegap #payinequality #ladybosarts ⠀
⠀
What are your thoughts? Did you know about this specific wage gap? Let us know below ⬇️⠀
⠀
⠀
📸: Getty Images, courtesy of @forbes",wagegap,|#givememymoney #bitchbetterhavemymoney #moneymotivation #moneymoves #ceomindset #hersuccess #sheeo #bossbabesociete #internationaldayofthegirl #unwomen #missiondriven #socialaction #missiondrivenpeople #progressivebusinesssociety #timesup #nonprofitdanceorg #latinxart #wocartist #supportlocalart #fuckyoupayme|There isn't a wage gap though it's literally illegal to pay a man and woman different for the same job in America,26
4,4,Thank you so much @reemedan for having me on Wage Gap Comedy last night! Honestly one of the best shows I’ve ever done in the Yoo-hoo room! #flappers #comedy #comedian #comic #wagegap #standup #standupcomedy #persian #iranian #american #muslim #burbank #LA #iraqi #middleeastern #lolol #yay #follow,wagegap,|Love the look!|عزيز دلم,108
5,5,"We can do better than this 👏👏👏
#taxes #amazonprime #jeffbezos #delta #chevron #GM #incometax #healthcare #poverty #medicareforall #berniesanders #elizabethwarren #warren #bernie2020 #economy #healthcare #environment #environmentalism #savetheplanet #equality #wagegap #liberal #democrat #progressive #socialism #socialist #workersrights",wagegap,"|Reduce the size of the government instead of raising taxes, these companies should have to pay, but 9 billion dollars when our government has an annual budget of 4 trillion is almost nothing, working class people would have to take most of this.|Lol, all major companies and that all the federal tax there saying is a big deal... the problem is the Federal Government 4.4 Trillion dollar budget!!",30
6,6,"If you’re curious why there’s a gender wage gap... The two countries that have reached near equal wages for men and women are Rwanda and Iceland. After the genocides in Rwanda, the women who were left banded together and made sure there were strict laws requiring a certain percentages of women in government. The result is near equality. In Iceland, the women went on strike and that led to a lot of changes. We need to find our own method for creating parity in our political systems. To start, we need to have policies that support parents of both genders who have families. Use it, or lose paternal leave, for instance. #equality #wagegap #whyweneedfeminism",wagegap,|There isn't a wage gap though it's literally illegal to pay a man and woman different for the same job in America,27
7,7,"#google #investgates #wagegap #lawsuit and finds out #theopposite

Just #⛏demPrivate🔑🗝🔑🗝
#travel and being a #influencer of the #bitcoin #blockchain.

#crytocurrency
#crypto
#developers
#MGT☕W in the #morning
#MGT🍔W in the #evening
#MGT🍩W in the #desserttime

Getting into #btc #ltc #doge #ethereum early makes you enjoy #freedomoftrade #anytime.

@google good job #hodl the #real #facts.",wagegap,"|I'm earning $7200 on a weekly basis with the help of @david_richard_fx a professional Forex trader/bitcoin miner.
You too can earn like me,it's pretty easy everyone can do it, click on the link to connect with mr David_richard_fx",4
8,8,"New research says that women  ask for raises as often as men do, but they are more likely to be refused.

Source https://www.thecut.com/2019/03/women-do-ask-money-work-salary-raise.html

#wagegap #paygap #genderpaygap #womennegotiate #askingforaraise #salarynegotiations #leanin #theirrelevantproject #weunlearn #representationmatters #feminisminindia #indianfeminist #representationmatters",wagegap,"|#genderequalityforall #blacklivesmatter #representationmatters #poc #stereotypes #genderneutralparenting #genderstereotypes #genderbias #childrengames #illustrationartists #sexism #everydaysexism #feministmedia #feminisminindia #unlearnandrelearn #parentinghacks #raisekindkids|Really interesting, thank you for sharing this 👏|@layofftina swipe thruuuu",246
9,9,"Say no to economic slavery. 🗣👎🏼
.
.
.
.
.
#employed #unemployed #selfemployed #wagegap #isitfridayyet #ninetofive #9to5 #9to5life #overtime #overnightshift #bosses #bossesbelike #bigbusiness #entrepreneur #entrepreneurial #entrepreneurialmindset #funny #instagood #instalaughs #itsjustjokes #itsnotthatserious #butitistho #dankmemes #dankmemesdaily #dankmemesgang #jamiefoxx #fyou",wagegap,|Follow yungmemeflex For Memes Daily|🤣,31
