SeqNo,text,hashtags,comments,likes
0,"This fashion line from @destinyhowardofficial was created just for @runway2life  and it was an honor walking for this designer! This line represents equality. “We are all equal regardless of race, gender, sexuality, age, religion & body type. “ and I couldn’t agree more! We can have DIFFERENT VIEWS without making someone feel less than ourselves. WE ARE ALL EQUAL IN GODS EYES 🙌🏼. Thank you to @lindacampbellgoebel and the Pureology team for the incredible hairstyle for this line! And thank you to @ltsphotography804 for these amazing shots! .
.
#equality #weareequal #equalrights #gender #religion #sexuality #race #bodytype #bodypositive #bodypositivemovement #benice #love #instagood #photooftheday #fashion #beautiful #happy #model #runway #runwaymodel #nyfashion #nyfw #designerclothes",weareequal,|Cute ❤️like your hair style here|😊💙💙,69
1,"SHE is mine and I’m f***ing proud! #SHEisMine
.
I don’t mean to upset you with what I just saw on the news, but this needs to be talked about. A four day old baby girl was found buried alive. She was found by a couple who were burying a child they had lost and heard her cries while digging a grave. She was buried alive because she was born a girl...
.
Tens of thousands of female babies are aborted every year simply because male babies are preferred by culture. This goes beyond unequal wages and the gender inequality we face in our own country, this is a matter of unequal and unworthy of LIFE 😭 What in the actual ****?
.
I believe that we are all equals, but in the case where any gender were to reign superior, should it not be female? Just saying 🙊 Without woman, there is no man. Women give birth to men, we gift them their LIFE. Without us, they wouldn’t exist. We birth men. We grow them, WE nurture them and raise them. That’s some pretty powerful stuff. How dare my daughter be viewed as “less-than” by anyone or any culture. #WeAreEqual
.
So here I am today, putting this out here because I feel compelled to try and make a difference. I’m mad, and heart broken. We need to change the world. So let’s do it, maybe we can save some babies. Let’s start a movement ♥️
.
This is my beautiful, amazing daughter whom I value EQUALLY to my son.
SHE is mine ♥️ and I am so damn proud to call her mine #EndGenderInequality
.
Will you post a photo of you and your baby girl or just a picture of her today with the same caption as mine? “SHE is mine and I’m f***ing proud! #SHEisMine #EndGenderInequality ” and join us in our fight for change! 💪🏼 Tag us so we can share and spread our message loud and proud, that these GIRLS are OURS and we are effing PROUD! 😭♥️ @theknottedcrown |#SHEisMine♥️ Even if you don’t want to tag us, please share something! Our babies deserve a voice. These baby girls deserve to be heard.",weareequal,"|How did we get there??? This is so terrible❤️|This is truly happening in same countries because of their culture and beliefs 😭 we are all equal and all of us should have equal rights. Proud mama of girls here 😍|I always wanted two girls and that’s exactly what I got!  I’m excited to raise them to be strong, smart & brave and for them to know their worth!  Who run the world?  GIRLS! ♥️🙌🏼🤗",56
2,"Assalamualaikum everyone!! Don't forget to watch the video and hit the like button!! Thank you in advance 🎉 Stay tuned for the update about the class and more information about sign language!
.
#COM165 #publicspeaking #educationalpurposes #weareequal #deaftalent #deafculture #deafpride #empoweringeveryone #spreadthelove #philanthropy",weareequal,|👍🏻👍🏻👍🏻|Great video👏👏,89
3,"fat.
thin.
dark.
fair.
tall.
short.

we are all different, but, we are EQUAL.

______________________________
#indianbookblogger #bibliophile #bookgram #bookishfeature #booklover #bookstagrammer #bookworm  #bookaddict #bookclub #bookcommunity #bookfeature #bookishlove #bookstagramindia #humanequality #booksbooksbooks #booknerd #weareequal #booksofig #jharkhandblogger",weareequal,|Wow! I love the picture as well as the caption😍|Caption...💯🔥🌟|Caption and pic😍🔥❤️❤️|Wah.. What a thought 🙌😍..|😍😍😍😍|Wow.. nice caption👏❤️|I love it! 💓|So true!!|U just described mankinds greatest mistake of Judging in just a pic containg few books.  I have to admit that u are creative as well as realist....... Keep up the creativity|💖 This is heart touching 😘 True 💕💕|😍🔥🔥|Well.. this is just amazing!😍😍|*equally beautiful|Awesome 🔥😍,260
4,"Last one maybe 😳
• @kiliau 🖤
• share on stories if your not gay 😩
•
•
•
•
•
Ignore tags or ur a fag 😘
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Ill get u back💀😂|Look at my story it will help you grow!💜|What a weirrdooooo|Nice post fellow grinder mind spreading the love and dropping a follow and sorry 😄for the self promotion it’s just hard to grow now days.😔😝☺️😘😋😂🤪😚🤓😙😞😏🤨😚🙂😋😋😋😍☺️😘😙🙂🧐😉😍😗🙂😝😝🙂😋😌😛🙂😝😉😚😛🙂😝🙃🤪😚😉😛🙂🤪😋😋|That “acting” is too good , makes me wonder 😳|lmao|😂😂|👑|❄️|😂😂😂|no one:
Xbox players:|Lmaooo|Pls do more shit like this i beg|whats yo hair sayin bouiiii🤣😭",56
5,"This true or na ?👾
• @shxrtsy @kiliau @woke.xanny •share on story 😎
•
•
•
•
Tags 
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Wanna play some duos? (I have 800 wins🙏)|🔥 post
Could you check out my recent, and maybe drop a like, like I did for you?|Is my recent post good? I need you’re opinion 🙌|Wow 🐐, follow us then dm us. We need players like you 👀🐐|Comment GG On My Recent And tag @bloodhounds.gg for a shoutout dm once done|@fearhazard 👀👀|👀|😂😂😂😂|😂😂|😭😭|Im a Repost Page‼️ Dm me if Interested!! Must Follow Me!!|Lmaoooo|👑|Want to join us? DM us then! 🛰❤️|😂😂😂😂🤦‍♂️❤️🐐🔥|I hate self promoting but I think im a decent Xbox player🚫🧢|😂😂😂|The last one 😂|sheesh|xanny is cracked|@woke.xanny|LMFAOOOO|😂😂😂@woke.xanny  Danny I'm showing this to everyone @ school Lmfao😂😂😂💀💀|😂😂|YOUR CRACKED 🤩, come grind for us and drop a follow @purified.ggs you might be our next recruit!🐐😍🔥|😂😂😂|🔥😂😂😂|💀|😂",69
6,"READ CAPTION:
These are my last clips of Season X, I had alot more better clips but they corrupt and I could only save a few... Enjoy!
🔥🔥🔥
Music: Lil Tecca - Ransom
🔥🔥🔥 #fortnite #memes #gaming #fortnitememes #xbox #fortniteclips #meme #gamer #follow #twitch #funny #fortnitebr #pubg #youtube #like #fortnitebattleroyale #WeAreEqual #EqualEU #Equal3k#fortniteleaks #ninja #faze #battleroyale
@equal_org @eq.deejay @vexggs @xetrayal @eq.f1lthy and more 😅",weareequal,|Im a actual bot check recent it says it all|Keep up the good work & have an amazing week! 👏🏼☺️🔥|GOATED|🐐|🐐🐐|💕|🐐|Gamer|🔥,20
7,"In 2004, former Plan International Germany Director Marianne Raven was in Nepal discussing the challenges faced by a rural community.
She saw a girl called Sharmila who didn’t have enough clothes on to keep her warm.
When Marianne asked her mother why she wasn’t being cared for, the mother replied, “Because she is a girl,” and a campaign was born.
This marked the start of a growing focus from Plan International on the needs and rights of girls that resulted in Because I am a Girl transforming girls’ lives in over 70 countries.

I personally came across @planindia
In 2014 April that was the same month I got my first salary and wanted to do something more then just spending it on me.
Great Initiative Great cause. I will always support it. ❤❤❤❤❤ I am not nominating anyone specific but all who can see this post.
#girlsgetequal
@planindia #girlsgetequalchallenge #weareequal #planindia",weareequal,|Wow|🙌|Wonderful|Smart pic,101
8,"Diversity, Equality, and Inclusion should be thought of when applying so you can get a happy meaningful job and have a real chance to be promoted, and paid fairly. 
Forgot to mention: you will actually love your job more and the people you work with!",weareequal,"|.
.
.
#HireEqual
#BestWorkPlace
#Applying
#Rightjob
#BestJobEver
#Diversity
#EqualityAct
#GenderEquality
#Inclusion
#JobsThatDontSuck
#CultureFit
#WeAreEqual
#WeAreAllEqual
#InclusionSolution
#Inclusion
#InclusionMatters
#TeamDiverse
#DiverseWorkforce
#CareerEmpowerment
#TeamInnovate
#DiverseCulture
#GoodMindSet
#JobSearching
#WorkLifestyle
#WeSupport
#BestWorkPractices
#WorkAdvice
#WorkTip
#CareerAdvice
#LoveMyTeam",5
9,"#rcchallenge #releasethehounds #fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #fortnitemexico #fortnitemobile #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Hey‼️ DeaDly Needs Recruits Like You!🐐 If Your Looking For A Fortnite Team, Follow us and We Will Check You Out👀👑❤️|If you make gaming videos use my songs in the video, I got like 1.7k subs YT: MoneyyMike 
@moneyyymike_vre🧬🧬|Keep up the good work🤩❤️|GOATED🐐 Mind taking a moment of your time to DM me?👀|🔥🐐💙|👀👀 Dayumm grind for us use #vexxrc|Nice clip, we’re looking for players just like you. If you’re interested in joining follow us, DM us and start grinding by using #FearAvy #AvyOnTop in all posts. 🤯|Hey we are a small Fortnite team trying to do big things for the fortnite community. We are currently looking for members so follow then dm us 🖤|I play mobile and post INSANE trickshots🤫🤫🤫|Ima bot compared to you and my recent says it all ❤️|Keep the grind up man, you just gotta grow some more and you can pop off|🐐|💕|🐐|🐐|👀|New recruit maybe👀🙌🏼? Maybe drop us a follow and we will check you out😍💪!|Yo bro you're cracked 🔥🐐 mind checking us out and giving us a follow also grind for us using #THTrc if your interested in getting recruited Dm Us|👑|🐐|🖤|🐐|🖤|🐐|🖤|🖤|🐐",26
