SeqNo,text,hashtags,comments,likes
0,"Interview humor ☺️ I loathe job interviews, but they’re a necessary evil 😅",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,3
1,"If you’re anything like me, work/life balance is very important. 
I’ve had jobs that expected me to be connected 24 seven via email, or available by phone. I thought this was ridiculous, but because so many others had no complaint the policy remained. 
Is it just me or do a lot of jobs require a lot, and offer very little in return?",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Wow interesting quote.. so true!,11
2,I wish I would have known a few years ago what I know now.  Have you experienced anything like this do to stress in the workplace?,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,21
3,"Nothing kills a safe and respectful culture faster than leaders who don't 'walk the walk'. Be a great role model! Set the bar high, and stay above it...",workplaceharassment,|#culturechange #changetheculture #leadership #leadershiptraining #bullying #bullyingawareness #workplacebullying #workplaceharassment #keynote #keynotes #keynotespeaker #keynotespeakers #guestspeaker #guestspeakers #speakerscircle #professionalspeaker #businessevent #businessevents #corporateevent #safetymonth #bullyingprevention #melbourneevents #perthevents #brisbaneevents #publicspeaker #publicspeakers #workplaceculture #endbullying #businessculture #safeworkmonth|Awesome content! Keep it up! Kindly dm me if you like to collab 🦅,5
4,"So true,  but it I’ve never understood it.

When you start a business you have unlimited earning potential, more freedom, and ability to create the life you want. 
When you’re employed, you’re at the mercy of the corporation you work for. They dictate your income, your hours, and whether or not you’ll be able to take care of yourself and your family financially.",workplaceharassment,"|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Isn’t that mentality scary?! People have been conditioned to wash , rinse & repeat 💯",10
5,"The truth is, your antagonist in the workplace chose you because they view you as a personal or professional threat. 
While the situation is not ideal, it should inspire you to revisit how you view yourself.  They obviously saw something in you that intimidated them so badly that they lashed out.

Long story short, you’re the bomb.  Own it 😉",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Love this!!!! 🙌|Needed this today. ❤️|@jmp.e 🤣🤣🤣🤣|@jmp.e 🤣🤣🤣🤣|@jmp.e 🤣🤣🤣🤣,61
6,#RP What are your thoughts? 👀,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Most employers are disrespectful and have no regard for their employees.  Going the extra mile is so not worth it.|@carolyndevans|I agree and I have slowly come to the realization they don’t care. It’s not worth it.|We love this! 💪🏽|I gave a month’s notice and they behaved as if it was a slap in the face. Companies think they own you...until they don’t need you. I think reciprocity is the law of the universe so that’s how I treat them.,67
7,"""You don't have to tolerate any behavior you don't like."" #mondaymotivation #friendlyreminder www.CareerDefense101.com⠀
.⠀
.⠀
.⠀
.⠀
.⠀
#stopsexism #inclusion #stopdiscrimination #stopbullying #feminismatwork #harassmentatwork #saynotosexualharassment #lifeasawoman #equalitea #workplaceharassment #stopsexualharassment #endsexualharassment #powerdynamics #genderequity #starttheconversation #womenwithvision #everydaysexism #feminismisforeverybody #weallwin #womenatwork #womeninleadership #successfulwomen #endthesilence #metoo #jobdiscrimination #toxicworkplace #badbehavior #settingboundaries",workplaceharassment,|🔥🔥🔥🔥,11
8,"Wine, cheese, tarot readings, and a collaborative profiling process targeting workplace equality. We are unmasking workplace abuse and giving people tools to protect themselves at work. 
For FREE tickets - click the link in our bio!

#Unmasked216 #WorkEnlightened",workplaceharassment,|#cleveland #discrimination  #workplaceequity #workplaceharassment #blackwomenlead #anxiety #mentalhealth #blackmentalhealth #harassment #bullying #diversityandinclusion #timesup #salary #womeninthemilitary #whyididntreport #racialequity #womensreality #womenofcolor #womenatwork #everydaysexism #feminism #cle #216 #paycheckfairness #paychecktopaycheck #endworkplaceabuse #workplaceabuse,11
9,#NoMoreSilence,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|My investment into binary trade with Mr Jordan was the very best decision I have ever made in my entire life. Am now enjoying the fruit of my labor $5500 withdrawal in 7 days is certain contact @jordanken8  for your investment.,9
10,Affirmations.  Because you speak things into existence 💕,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,12
11,Baseless criticism is the sincerest form of flattery 😉,workplaceharassment,|We call those people “crabs”|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|👏🏽👏🏽👏🏽|That is sooooooo true. A good percentage of people bullied in the workplace. Are the best at their field. Thebullyexposed.com,79
